"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Guyana,8485,+28,195.0,+3,7890.0,+56,400.0,4.0,10754.0,247.0,63046.0,79902.0,789037.0,South America,93.0,4046.0,13.0
Mali,8349,+17,349.0,+1,6352.0,+6,1648.0,,405.0,17.0,149692.0,7257.0,20627736.0,Africa,2471.0,59105.0,138.0
Aruba,7804,+29,71.0,,7494.0,+58,239.0,11.0,72892.0,663.0,103183.0,963760.0,107063.0,North America,14.0,1508.0,1.0
Trinidad and Tobago,7697,+7,139.0,,7436.0,+5,122.0,2.0,5488.0,99.0,95705.0,68241.0,1402457.0,North America,182.0,10090.0,15.0
South Sudan,7349,+125,87.0,,4107.0,+93,3155.0,9.0,652.0,8.0,106474.0,9440.0,11279339.0,Africa,1535.0,129648.0,106.0
Somalia,6687,+138,223.0,+5,3784.0,+1,2680.0,,413.0,14.0,,,16179890.0,Africa,2420.0,72556.0,
Martinique,6687,,45.0,,98.0,,6544.0,2.0,17828.0,120.0,100913.0,269048.0,375074.0,North America,56.0,8335.0,4.0
Togo,6637,+89,82.0,,5489.0,+42,1066.0,,790.0,10.0,232457.0,27659.0,8404488.0,Africa,1266.0,102494.0,36.0
Nicaragua,6445,,173.0,,4225.0,,2047.0,,965.0,26.0,,,6675966.0,North America,1036.0,38589.0,
Djibouti,6060,+8,63.0,,5892.0,+6,105.0,,6076.0,63.0,114995.0,115300.0,997359.0,Africa,165.0,15831.0,9.0
Iceland,6049,,29.0,,6005.0,+1,15.0,8.0,17651.0,85.0,498844.0,1455663.0,342692.0,Europe,57.0,11817.0,1.0
Equatorial Guinea,5852,,91.0,,5559.0,,202.0,11.0,4085.0,64.0,96940.0,67663.0,1432699.0,Africa,245.0,15744.0,15.0
Benin,5434,,70.0,,4248.0,,1116.0,,441.0,6.0,476511.0,38651.0,12328694.0,Africa,2269.0,176124.0,26.0
CAR,5004,,63.0,,4920.0,,21.0,2.0,1024.0,13.0,37104.0,7596.0,4884381.0,Africa,976.0,77530.0,132.0
Niger,4740,,172.0,,4250.0,,318.0,3.0,191.0,7.0,78967.0,3188.0,24770405.0,Africa,5226.0,144014.0,314.0
Curaçao,4708,+3,22.0,,4624.0,+4,62.0,1.0,28614.0,134.0,49929.0,303461.0,164532.0,North America,35.0,7479.0,3.0
Gambia,4671,+31,147.0,,4089.0,,435.0,8.0,1898.0,60.0,41706.0,16950.0,2460557.0,Africa,527.0,16738.0,59.0
Gibraltar,4235,+1,92.0,+1,4119.0,+6,24.0,4.0,125727.0,2731.0,184349.0,5472895.0,33684.0,Europe,8.0,366.0,0.0
Channel Islands,4032,+1,86.0,,3893.0,,53.0,4.0,23052.0,492.0,365480.0,2089532.0,174910.0,Europe,43.0,2034.0,0.0
Chad,3934,+30,137.0,+1,3420.0,+22,377.0,,235.0,8.0,,,16730450.0,Africa,4253.0,122120.0,
Sierra Leone,3884,+4,79.0,,2612.0,,1193.0,,481.0,10.0,116448.0,14408.0,8082312.0,Africa,2081.0,102308.0,69.0
San Marino,3621,+35,73.0,,3201.0,+5,347.0,10.0,106569.0,2148.0,41383.0,1217935.0,33978.0,Europe,9.0,465.0,1.0
Comoros,3552,+13,144.0,,3203.0,+13,205.0,,4029.0,163.0,,,881622.0,Africa,248.0,6122.0,
Guinea-Bissau,3215,+44,48.0,,2587.0,+9,580.0,7.0,1609.0,24.0,51399.0,25723.0,1998146.0,Africa,622.0,41628.0,39.0
Saint Lucia,3149,,34.0,,2879.0,,236.0,1.0,17098.0,185.0,30080.0,163322.0,184176.0,North America,58.0,5417.0,6.0
Barbados,2949,+42,32.0,,2171.0,+79,746.0,,10254.0,111.0,123470.0,429303.0,287606.0,North America,98.0,8988.0,2.0
